0,1,2
1,0,3
4,3,0
3,4,5
6,5,4
6,7,5
8,9,10
9,8,11
12,11,8
11,12,13
14,13,12
13,14,15
16,15,14
15,16,2
17,2,16
2,17,0
18,0,17
0,18,4
19,4,18
4,19,6
20,6,19
6,20,7
21,7,20
7,21,22
23,22,21
22,23,24
25,24,23
24,25,26
27,26,25
26,27,28
29,28,27
28,29,30
31,30,29
30,31,32
33,32,31
32,33,34
35,34,33
34,35,36
37,36,35
36,37,38
39,38,37
39,40,38
41,42,43
42,41,44
45,44,41
44,45,10
46,10,45
10,46,8
47,8,46
8,47,12
48,12,47
12,48,14
49,14,48
14,49,16
50,16,49
16,50,17
51,17,50
17,51,18
52,18,51
18,52,19
53,19,52
19,53,20
54,20,53
20,54,21
55,21,54
21,55,23
56,23,55
23,56,25
57,25,56
25,57,27
58,27,57
27,58,29
59,29,58
29,59,31
60,31,59
31,60,33
61,33,60
33,61,35
62,35,61
35,62,37
63,37,62
37,63,39
64,39,63
39,64,40
65,40,64
40,65,66
67,66,65
66,67,68
69,68,67
69,70,68
71,43,72
43,71,41
73,41,71
41,73,45
74,45,73
45,74,46
75,46,74
46,75,47
76,47,75
47,76,48
77,48,76
48,77,49
78,49,77
49,78,50
79,50,78
50,79,51
80,51,79
51,80,52
81,52,80
52,81,53
82,53,81
53,82,54
83,54,82
54,83,55
84,55,83
55,84,56
85,56,84
56,85,57
86,57,85
57,86,58
87,58,86
58,87,59
88,59,87
59,88,60
89,60,88
60,89,61
90,61,89
61,90,62
91,62,90
62,91,63
92,63,91
63,92,64
93,64,92
64,93,65
94,65,93
65,94,67
95,67,94
67,95,69
96,69,95
69,96,70
97,70,96
70,97,98
99,98,97
98,99,100
101,100,99
101,102,100
103,104,105
104,103,72
106,72,103
72,106,71
107,71,106
71,107,73
108,73,107
73,108,74
109,74,108
74,109,75
110,75,109
75,110,76
111,76,110
76,111,77
112,77,111
77,112,78
113,78,112
78,113,79
114,79,113
79,114,80
115,80,114
80,115,81
116,81,115
81,116,82
117,82,116
82,117,83
118,83,117
83,118,84
119,84,118
84,119,85
120,85,119
85,120,86
121,86,120
86,121,87
122,87,121
87,122,88
123,88,122
88,123,89
124,89,123
89,124,90
125,90,124
90,125,91
