-0.0570917f,0.490469f,-0.142433f
-0.0581126f,0.5f,-0.160615f
-0.0651903f,0.490827f,-0.147409f
-0.0501295f,0.499886f,-0.158146f
-0.0491703f,0.49039f,-0.140236f
-0.0422027f,0.499864f,-0.157942f
-0.041255f,0.49031f,-0.138206f
-0.0333885f,0.490314f,-0.137995f
-0.0967512f,0.48302f,-0.150394f
-0.0980263f,0.492571f,-0.170351f
-0.104966f,0.483425f,-0.158828f
-0.0896942f,0.492013f,-0.163935f
-0.0885022f,0.482531f,-0.143063f
-0.0813959f,0.491458f,-0.15796f
-0.0803067f,0.482078f,-0.135859f
-0.0732078f,0.491024f,-0.152426f
-0.0722767f,0.481834f,-0.130923f
-0.0641787f,0.481457f,-0.126034f
-0.0562433f,0.481312f,-0.12338f
-0.0483133f,0.481157f,-0.120483f
-0.0404306f,0.48107f,-0.118941f
-0.0326516f,0.48117f,-0.118924f
-0.0255749f,0.490426f,-0.138054f
-0.0248183f,0.481165f,-0.119393f
-0.0176405f,0.490276f,-0.137743f
-0.0170191f,0.481229f,-0.119604f
-0.00980777f,0.490343f,-0.138905f
-0.00929217f,0.481463f,-0.120911f
-0.00203196f,0.490557f,-0.138462f
-0.00142732f,0.481382f,-0.120708f
0.00586407f,0.49047f,-0.139329f
0.00637779f,0.481442f,-0.121593f
0.0136592f,0.490659f,-0.139662f
0.0141247f,0.481671f,-0.122438f
0.0214627f,0.490846f,-0.141998f
0.0219336f,0.48174f,-0.123647f
0.0292989f,0.490947f,-0.144376f
0.0297202f,0.48189f,-0.124761f
0.0370668f,0.491324f,-0.143731f
0.0375096f,0.482052f,-0.127496f
0.0453017f,0.482231f,-0.129646f
-0.120432f,0.475178f,-0.152546f
-0.121956f,0.484825f,-0.172114f
-0.129073f,0.47601f,-0.163887f
-0.113311f,0.483962f,-0.163574f
-0.112136f,0.474707f,-0.143877f
-0.10369f,0.474008f,-0.13455f
-0.0954282f,0.473495f,-0.126639f
-0.0872817f,0.473097f,-0.120777f
-0.0793162f,0.47292f,-0.116743f
-0.0712934f,0.472638f,-0.112106f
-0.0633625f,0.472471f,-0.109188f
-0.0555021f,0.472399f,-0.107005f
-0.047625f,0.472287f,-0.104451f
-0.0397977f,0.472249f,-0.103605f
-0.031982f,0.472223f,-0.102629f
-0.0241988f,0.472255f,-0.102603f
-0.0164517f,0.472362f,-0.102541f
-0.00862033f,0.472287f,-0.102874f
-0.00087841f,0.472412f,-0.104175f
0.00681148f,0.472684f,-0.104708f
0.0146464f,0.472588f,-0.105029f
0.0223955f,0.472728f,-0.106842f
0.0301008f,0.473032f,-0.108929f
0.0378965f,0.47306f,-0.110561f
0.0456327f,0.473328f,-0.113756f
0.0530628f,0.482595f,-0.133904f
0.0533733f,0.473637f,-0.117072f
0.0608419f,0.482957f,-0.137986f
0.061145f,0.47386f,-0.120723f
0.0689147f,0.474162f,-0.125655f
-0.127385f,0.466308f,-0.137659f
-0.135933f,0.467018f,-0.150537f
-0.118989f,0.465721f,-0.127736f
-0.110598f,0.465096f,-0.117965f
-0.102536f,0.464827f,-0.112744f
-0.0943661f,0.464397f,-0.106856f
-0.0863892f,0.464186f,-0.102686f
-0.0783806f,0.463911f,-0.0991349f
-0.0705361f,0.463845f,-0.0967283f
-0.0627098f,0.463797f,-0.0947023f
-0.0548566f,0.463699f,-0.0929124f
-0.0470673f,0.463692f,-0.0918646f
-0.0392142f,0.463569f,-0.0906196f
-0.0314329f,0.46356f,-0.0889012f
-0.023686f,0.463612f,-0.0890277f
-0.0159529f,0.463694f,-0.0895731f
-0.00822756f,0.463798f,-0.0900445f
-0.000456468f,0.463804f,-0.0906279f
0.00727439f,0.463905f,-0.0916819f
0.0150093f,0.464005f,-0.092304f
0.0227343f,0.464144f,-0.0934452f
0.0304842f,0.464222f,-0.094659f
0.0381941f,0.46445f,-0.0960128f
0.0459485f,0.464544f,-0.0987033f
0.053644f,0.464919f,-0.10207f
0.0614142f,0.465007f,-0.104769f
0.0691381f,0.465396f,-0.109373f
0.076656f,0.474798f,-0.131313f
0.0768891f,0.465735f,-0.113622f
0.0844508f,0.475239f,-0.136846f
0.084644f,0.466206f,-0.119273f
0.0924341f,0.466543f,-0.12448f
-0.143082f,0.458442f,-0.13994f
-0.144542f,0.467746f,-0.16032f
-0.151993f,0.45944f,-0.153766f
-0.134514f,0.457736f,-0.12744f
-0.126108f,0.457154f,-0.117067f
-0.117655f,0.456477f,-0.107762f
-0.109599f,0.456208f,-0.101205f
-0.101493f,0.455858f,-0.0951184f
-0.093515f,0.455635f,-0.0916434f
-0.085554f,0.455414f,-0.0878192f
-0.0776917f,0.455304f,-0.0848568f
-0.0698721f,0.45524f,-0.0832442f
-0.0621122f,0.455255f,-0.0818114f
-0.0542866f,0.455166f,-0.0807082f
-0.046524f,0.455166f,-0.0797758f
-0.0387278f,0.455105f,-0.0788835f
-0.0310121f,0.455177f,-0.0786036f
-0.02329f,0.455239f,-0.0785625f
-0.0155167f,0.455202f,-0.078316f
-0.00783435f,0.455349f,-0.079532f
-0.000127022f,0.455452f,-0.0802177f
0.00763242f,0.455439f,-0.0803001f
0.015351f,0.455524f,-0.0815116f
0.0230435f,0.455691f,-0.0825102f
0.0307664f,0.455787f,-0.0836918f
0.038497f,0.455867f,-0.0850102f
0.0461971f,0.456076f,-0.0865681f
0.0539255f,0.456204f,-0.0893389f
0.0616345f,0.456458f,-0.0922926f
0.0693582f,0.456702f,-0.0955219f
0.0770758f,0.457078f,-0.0994663f
0.0848316f,0.457288f,-0.103434f
0.0925967f,0.457511f,-0.108222f
0.100228f,0.467174f,-0.131964f
0.100358f,0.45806f,-0.114802f
0.10806f,0.467642f,-0.138914f
0.108149f,0.458628f,-0.121911f
0.115971f,0.459121f,-0.131444f
-0.150475f,0.450176f,-0.133174f
-0.159421f,0.451157f,-0.15039f
-0.141812f,0.449409f,-0.120512f
-0.133287f,0.448731f,-0.108975f
-0.124987f,0.448241f,-0.100252f
-0.116837f,0.447877f,-0.0930791f
-0.108725f,0.447525f,-0.086765f
-0.100714f,0.447263f,-0.0818063f
-0.0928289f,0.447129f,-0.0782162f
-0.0849157f,0.446947f,-0.0751351f
-0.0771205f,0.446899f,-0.0737605f
-0.0692968f,0.446805f,-0.0721243f
-0.0615425f,0.446798f,-0.0703267f
-0.0538111f,0.44682f,-0.0701769f
-0.0460307f,0.446764f,-0.0699179f
-0.0383166f,0.446807f,-0.0692819f
-0.0305976f,0.446841f,-0.0690517f
-0.0229054f,0.446923f,-0.0695923f
-0.015203f,0.446991f,-0.0698128f
-0.00749755f,0.447056f,-0.0703275f
0.000189924f,0.447164f,-0.0713698f
0.00790969f,0.447205f,-0.0720009f
0.0155865f,0.447356f,-0.072916f
0.0233336f,0.447331f,-0.07373f
0.0310057f,0.447521f,-0.0748028f
0.0387172f,0.447611f,-0.0760453f
0.0464317f,0.4477f,-0.0770336f
0.0541302f,0.447871f,-0.078913f
0.0618493f,0.447981f,-0.0807462f
0.0695369f,0.448298f,-0.0836004f
0.077281f,0.448338f,-0.0854883f
0.0849944f,0.448656f,-0.0895453f
0.092722f,0.449014f,-0.0946829f
0.100467f,0.44943f,-0.100747f
0.108236f,0.449784f,-0.106798f
0.116028f,0.450402f,-0.115351f
0.123854f,0.450965f,-0.1255f
-0.157976f,0.44205f,-0.129947f
-0.166911f,0.442968f,-0.144539f
-0.149335f,0.441345f,-0.116556f
-0.140805f,0.4407f,-0.104978f
-0.132382f,0.440116f,-0.0951103f
-0.124133f,0.439666f,-0.0864794f
-0.116075f,0.439384f,-0.0807264f
-0.108021f,0.439082f,-0.0749414f
-0.100075f,0.438877f,-0.070806f
-0.0922183f,0.438758f,-0.0678308f
-0.0843386f,0.438598f,-0.0648913f
-0.0765788f,0.438572f,-0.0636489f
-0.0688008f,0.438517f,-0.0623329f
-0.061042f,0.43848f,-0.0614939f
-0.0533894f,0.438589f,-0.0613242f
-0.0456439f,0.438564f,-0.0610072f
-0.0379286f,0.438579f,-0.0611498f
-0.0302837f,0.438711f,-0.0612977f
-0.0225304f,0.43866f,-0.0610522f
-0.0148822f,0.438796f,-0.0624436f
-0.00721602f,0.438908f,-0.0628613f
0.000502523f,0.438918f,-0.063064f
0.00817516f,0.439028f,-0.0645426f
0.0158531f,0.439137f,-0.0648431f
0.0235658f,0.439164f,-0.0654038f
0.0312661f,0.439225f,-0.066196f
0.0389368f,0.439387f,-0.067407f
0.046643f,0.439447f,-0.0687384f
0.0543306f,0.43959f,-0.0701267f
0.0620177f,0.439767f,-0.0717847f
0.0697329f,0.439835f,-0.0736986f
0.0774258f,0.440069f,-0.0757709f
0.0851319f,0.440297f,-0.0791601f
0.092839f,0.440661f,-0.0839549f
0.100574f,0.44089f,-0.0885749f
0.108316f,0.44136f,-0.0943811f
0.116087f,0.441851f,-0.103211f
0.123888f,0.442382f,-0.110844f
0.131753f,0.452051f,-0.140481f
0.131747f,0.443231f,-0.122384f
0.139721f,0.453172f,-0.153729f
0.139617f,0.443721f,-0.132633f
-0.165739f,0.434173f,-0.128733f
-0.175162f,0.435434f,-0.147889f
-0.156924f,0.433363f,-0.11423f
-0.148408f,0.432768f,-0.10305f
-0.139924f,0.432164f,-0.0922958f
-0.131679f,0.431745f,-0.0841849f
-0.123519f,0.431378f,-0.0766637f
-0.115511f,0.431138f,-0.0714071f
-0.10749f,0.430865f,-0.0658657f
-0.099579f,0.430688f,-0.0622911f
-0.091677f,0.430505f,-0.0590654f
-0.0838515f,0.430393f,-0.0568222f
-0.0761288f,0.430396f,-0.0553156f
-0.0683989f,0.430385f,-0.0542695f
-0.06068f,0.430385f,-0.0541375f
-0.0529663f,0.430388f,-0.0535547f
-0.0452998f,0.430456f,-0.0536316f
-0.0376027f,0.43048f,-0.0537357f
-0.0298789f,0.430458f,-0.05395f
-0.0222412f,0.430578f,-0.054246f
-0.014586f,0.430675f,-0.0549046f
-0.00688719f,0.430695f,-0.0555888f
0.000734441f,0.430871f,-0.0560909f
0.00843299f,0.430897f,-0.0570001f
0.01612f,0.430948f,-0.0577747f
0.0237711f,0.431095f,-0.0581529f
0.0314696f,0.431126f,-0.0586219f
0.039148f,0.431219f,-0.0600466f
0.0468315f,0.431307f,-0.0607697f
0.0545039f,0.431451f,-0.0629323f
0.0621922f,0.431554f,-0.0639689f
0.0698838f,0.431662f,-0.065352f
0.0775735f,0.431812f,-0.067607f
0.0852531f,0.432112f,-0.0709775f
0.0929583f,0.432312f,-0.0746206f
0.100664f,0.432708f,-0.0794199f
0.108396f,0.433005f,-0.0850428f
0.116146f,0.433393f,-0.0913222f
0.123931f,0.434033f,-0.100402f
0.131737f,0.434433f,-0.109579f
0.139611f,0.43522f,-0.120955f
0.147529f,0.435966f,-0.131693f
-0.173535f,0.426322f,-0.129689f
-0.18267f,0.427283f,-0.148274f
-0.1646f,0.425467f,-0.114567f
-0.156004f,0.424843f,-0.102205f
-0.147655f,0.424391f,-0.0918725f
-0.13929f,0.423896f,-0.0822856f
-0.131092f,0.423519f,-0.0746363f
-0.122983f,0.423199f,-0.0684867f
-0.114914f,0.422893f,-0.0630011f
-0.106951f,0.422671f,-0.0581903f
-0.0991067f,0.422554f,-0.0547292f
-0.0912499f,0.422412f,-0.0517351f
-0.0834901f,0.422365f,-0.0501179f
-0.0756983f,0.422273f,-0.0483187f
-0.0680039f,0.422289f,-0.0472133f
-0.0603324f,0.422333f,-0.0472217f
-0.0526125f,0.422312f,-0.0471499f
-0.0449992f,0.422436f,-0.0474995f
